DATA,RECUPERADOS/DIA,INTERNADOS/DIA
2021-09-09,-265.0,-265.0
2021-09-10,212.0,212.0
2021-09-11,70.0,70.0
2021-09-12,14.0,14.0
2021-09-13,169.0,169.0
2021-09-14,500.0,500.0
2021-09-15,174.0,174.0
2021-09-16,249.0,249.0
2021-09-17,1660.0,1660.0
2021-09-18,81.0,81.0
2021-09-19,28.0,28.0
2021-09-20,106.0,106.0
2021-09-21,183.0,183.0
2021-09-22,411.0,411.0
2021-09-23,128.0,128.0
2021-09-24,182.0,182.0
2021-09-25,50.0,50.0
2021-09-26,24.0,24.0
2021-09-27,262.0,262.0
2021-09-28,327.0,327.0
2021-09-29,193.0,193.0
2021-09-30,137.0,137.0
2021-10-01,167.0,167.0
2021-10-02,84.0,84.0
2021-10-03,30.0,30.0
2021-10-04,218.0,218.0
2021-10-05,758.0,758.0
2021-10-06,219.0,219.0
2021-10-07,107.0,107.0
2021-10-08,170.0,170.0
2021-10-09,125.0,125.0
2021-10-10,45.0,45.0
2021-10-11,106.0,106.0
2021-10-12,23.0,23.0
2021-10-13,123.0,123.0
2021-10-14,236.0,236.0
2021-10-15,-206.0,-206.0
2021-10-16,63.0,63.0
2021-10-17,-3.0,-3.0
2021-10-18,654.0,654.0
2021-10-19,90.0,90.0
2021-10-20,148.0,148.0
2021-10-21,346.0,346.0
2021-10-22,19.0,19.0
2021-10-23,34.0,34.0
2021-10-24,28.0,28.0
2021-10-25,57.0,57.0
2021-10-26,109.0,109.0
2021-10-27,73.0,73.0
2021-10-28,55.0,55.0
2021-10-29,82.0,82.0
2021-10-30,20.0,20.0
2021-10-31,12.0,12.0
2021-11-01,16.0,16.0
2021-11-02,72.0,72.0
2021-11-03,124.0,124.0
2021-11-04,37.0,37.0
2021-11-05,207.0,207.0
2021-11-06,10.0,10.0
2021-11-07,8.0,8.0
2021-11-08,199.0,199.0
2021-11-09,88.0,88.0
2021-11-10,-16.0,-16.0
2021-11-11,156.0,156.0
2021-11-12,49.0,49.0
2021-11-13,17.0,17.0
2021-11-14,5.0,5.0
2021-11-15,10.0,10.0
2021-11-16,37.0,37.0
2021-11-17,104.0,104.0
2021-11-18,116.0,116.0
2021-11-19,46.0,46.0
2021-11-20,29.0,29.0
2021-11-21,2.0,2.0
2021-11-22,172.0,172.0
2021-11-23,60.0,60.0
2021-11-24,0.0,0.0
