,DATA,RECUPERADOS/DIA,INTERNADOS/DIA,cases_7,cases_14,observation_7,observation_14
290,2021-01-07,384.0,384.0,467,697,1,2
291,2021-01-08,722.0,722.0,445,513,1,2
292,2021-01-09,184.0,184.0,494,263,2,1
293,2021-01-10,101.0,101.0,71,69,1,1
294,2021-01-11,429.0,429.0,446,497,1,2
295,2021-01-12,520.0,520.0,539,616,2,2
296,2021-01-13,509.0,509.0,446,427,1,1
297,2021-01-14,467.0,467.0,697,409,2,1
298,2021-01-15,445.0,445.0,513,729,2,2
299,2021-01-16,494.0,494.0,263,334,1,1
300,2021-01-17,71.0,71.0,69,36,1,0
301,2021-01-18,446.0,446.0,497,411,2,1
302,2021-01-19,539.0,539.0,616,284,2,1
303,2021-01-20,446.0,446.0,427,752,1,2
304,2021-01-21,697.0,697.0,409,637,1,2
305,2021-01-22,513.0,513.0,729,460,2,1
306,2021-01-23,263.0,263.0,334,409,1,1
307,2021-01-24,69.0,69.0,36,136,0,1
308,2021-01-25,497.0,497.0,411,373,1,1
309,2021-01-26,616.0,616.0,284,767,1,2
310,2021-01-27,427.0,427.0,752,624,2,2
311,2021-01-28,409.0,409.0,637,453,2,1
312,2021-01-29,729.0,729.0,460,456,1,1
313,2021-01-30,334.0,334.0,409,273,1,1
314,2021-01-31,36.0,36.0,136,67,1,0
315,2021-02-01,411.0,411.0,373,406,1,1
316,2021-02-02,284.0,284.0,767,685,2,2
317,2021-02-03,752.0,752.0,624,316,2,1
318,2021-02-04,637.0,637.0,453,515,1,2
319,2021-02-05,460.0,460.0,456,569,1,2
320,2021-02-06,409.0,409.0,273,193,1,1
321,2021-02-07,136.0,136.0,67,135,0,1
322,2021-02-08,373.0,373.0,406,424,1,1
323,2021-02-09,767.0,767.0,685,405,2,1
324,2021-02-10,624.0,624.0,316,928,1,2
325,2021-02-11,453.0,453.0,515,531,2,2
326,2021-02-12,456.0,456.0,569,379,2,1
327,2021-02-13,273.0,273.0,193,407,1,1
328,2021-02-14,67.0,67.0,135,198,1,1
329,2021-02-15,406.0,406.0,424,451,1,1
330,2021-02-16,685.0,685.0,405,424,1,1
331,2021-02-17,316.0,316.0,928,751,2,2
332,2021-02-18,515.0,515.0,531,672,2,2
333,2021-02-19,569.0,569.0,379,763,1,2
334,2021-02-20,193.0,193.0,407,945,1,2
335,2021-02-21,135.0,135.0,198,128,1,1
336,2021-02-22,424.0,424.0,451,410,1,1
337,2021-02-23,405.0,405.0,424,595,1,2
338,2021-02-24,928.0,928.0,751,627,2,2
339,2021-02-25,531.0,531.0,672,785,2,2
340,2021-02-26,379.0,379.0,763,1023,2,2
341,2021-02-27,407.0,407.0,945,535,2,2
342,2021-02-28,198.0,198.0,128,200,1,1
343,2021-03-01,451.0,451.0,410,561,1,2
344,2021-03-02,424.0,424.0,595,1017,2,2
345,2021-03-03,751.0,751.0,627,571,2,2
346,2021-03-04,672.0,672.0,785,846,2,2
347,2021-03-05,763.0,763.0,1023,1003,2,2
348,2021-03-06,945.0,945.0,535,525,2,2
349,2021-03-07,128.0,128.0,200,134,1,1
350,2021-03-08,410.0,410.0,561,945,2,2
351,2021-03-09,595.0,595.0,1017,816,2,2
352,2021-03-10,627.0,627.0,571,1353,2,2
353,2021-03-11,785.0,785.0,846,1123,2,2
354,2021-03-12,1023.0,1023.0,1003,901,2,2
355,2021-03-13,535.0,535.0,525,334,2,1
356,2021-03-14,200.0,200.0,134,158,1,1
357,2021-03-15,561.0,561.0,945,895,2,2
358,2021-03-16,1017.0,1017.0,816,1028,2,2
359,2021-03-17,571.0,571.0,1353,1067,2,2
360,2021-03-18,846.0,846.0,1123,1000,2,2
361,2021-03-19,1003.0,1003.0,901,332,2,1
362,2021-03-20,525.0,525.0,334,344,1,1
363,2021-03-21,134.0,134.0,158,230,1,1
364,2021-03-22,945.0,945.0,895,514,2,2
365,2021-03-23,816.0,816.0,1028,2033,2,2
366,2021-03-24,1353.0,1353.0,1067,839,2,2
367,2021-03-25,1123.0,1123.0,1000,1557,2,2
368,2021-03-26,901.0,901.0,332,1277,1,2
